Drug_ID	Drug	Y
"abacavir"	"Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1"	0
"abecarnil"	"COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12"	0
"abiraterone"	"C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1"	0
"acebutolol"	"CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1"	0
"aceclofenac"	"O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl"	0
"acenocoumarol"	"CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O"	1
"acetylsalicylic-acid"	"CC(=O)Oc1ccccc1C(=O)O"	0
"acetaminophen"	"CC(=O)Nc1ccc(O)cc1"	1
"acetanilide"	"CC(=O)Nc1ccccc1"	0
"acetazolamide"	"CC(=O)Nc1nnc(S(N)(=O)=O)s1"	0
"acetone"	"CC(C)=O"	0
"adinazolam"	"CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2"	1
"ajmaline"	"CC[C@@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O"	0
"albendazole"	"CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1"	1
"albuterol"	"CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1"	0
"alfentanil"	"CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1"	1
"almotriptan"	"CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12"	1
"alosetron"	"Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O"	1
"alpidem"	"CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12"	1
"alprazolam"	"Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2"	1
"alprenolol"	"C=CCc1ccccc1OC[C@@H](O)CNC(C)C"	0
"ambroxol"	"Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1"	1
"aminoglutethimide"	"CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O"	0
"amiflamine"	"Cc1cc(N(C)C)ccc1C[C@H](C)N"	0
"amifloxacin"	"CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21"	0
"amiodarone"	"CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1"	1
"aminopyrine"	"Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C"	1
"amitriptyline"	"CN(C)CCC=C1c2ccccc2CCc2ccccc21"	1
"amlodipine"	"CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl"	1
"amodiaquin"	"CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O"	0
"amoxapine"	"Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2"	1
"amphetamine"	"C[C@H](N)Cc1ccccc1"	0
"amprenavir"	"CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1"	1
"anastrozole"	"CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1"	1
"aniline"	"Nc1ccccc1"	0
"anthraquinone"	"O=C1c2ccccc2C(=O)c2ccccc21"	0
"antipyrine"	"Cc1cc(=O)n(-c2ccccc2)n1C"	1
"apazone"	"CCC[C@H]1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O"	0
"R-(-)-apomorphine"	"CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3"	1
"aprepitant"	"C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1"	1
"aprindine"	"CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1"	0
"aranidipine"	"COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)[C@@H]1c1ccccc1[N+](=O)[O-]"	0
"argatroban"	"C[C@H]1CCN(C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)c2ccc3c(c2)C[C@@H](C)CN3)[C@@H](C(=O)O)C1"	1
"aripiprazole"	"O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1"	1
"artemisinin"	"C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4"	1
"artesunate"	"C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4"	0
"astemizole"	"COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1"	1
"atamestane"	"CC1=CC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]3[C@@]12C"	0
"atazanavir"	"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@H](NC(=O)OC)C(C)(C)C)C(C)(C)C"	0
"atorvastatin"	"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O"	1
"atovaquone"	"O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1"	0
"avasimibe"	"CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1"	0
"avitriptan"	"CNS(=O)(=O)Cc1ccc2[nH]cc(CCCN3CCN(c4ncncc4OC)CC3)c2c1"	1
"azacylonol"	"OC(c1ccccc1)(c1ccccc1)C1CCNCC1"	0
"azamulin"	"CC[C@]1(C)C[C@@H](OC(=O)CSc2n[nH]c(N)n2)[C@]2(C)[C@@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O"	0
"azelastine"	"CN1CCC[C@H](n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1"	1
